Value Driver Display Name (T12),KPI Name,Description
Increase profit with product personalization,Operating margin from personalized products (in %),Increase profit with product personalization. Operating margin from personalized products (in %)
Increase revenue growth with better product personalization,Revenue growth from personalized products (in %),Increase revenue growth with better product personalization. Revenue growth from personalized products (in %)
Reduce finance cost,Finance cost (% of revenue),Reduce finance cost. Finance cost (% of revenue)
Improve on-time delivery performance,On-time delivery performance (in %),Improve on-time delivery performance. On-time delivery performance (in %)
Reduce days in inventory,Days in inventory,Reduce days in inventory. Days in inventory
Reduce order fulfillment lead time,Order fulfillment lead time (in days),Reduce order fulfillment lead time. Order fulfillment lead time (in days)
Improve supply chain FTE productivity,Supply chain FTEs per billion in revenue (overall),Improve supply chain FTE productivity. Supply chain FTEs per billion in revenue (overall)
Reduce total logistics cost,Total logistics cost (% of COGS),Reduce total logistics cost. Total logistics cost (% of COGS)
Reduce revenue loss due to fulfillment Issues,Revenue loss due to fulfilment issues (%),Reduce revenue loss due to fulfillment Issues. Revenue loss due to fulfilment issues (%)
Reduce customer churn,Customer churn (in %),Reduce customer churn. Customer churn (in %)
Reduce overall supply chain planning cost,Supply chain planning cost (% revenue),Reduce overall supply chain planning cost. Supply chain planning cost (% revenue)
Reduce inventory carrying cost,Inventory carrying cost (% of revenue),Reduce inventory carrying cost. Inventory carrying cost (% of revenue)
Reduce revenue loss due to stock-outs,Revenue loss due to stock outs (%),Reduce revenue loss due to stock-outs. Revenue loss due to stock outs (%)
Reduce revenue leakage,Revenue leakage (in %),Reduce revenue leakage. Revenue leakage (in %)
Increase capacity utilization,Capacity utilization rate (in %),Increase capacity utilization. Capacity utilization rate (in %)
"Reduce losses from unforeseen risk (fraud, access risk)",Unplanned losses from unforeseen risk events (in %),"Reduce losses from unforeseen risk (fraud, access risk). Unplanned losses from unforeseen risk events (in %)"
Reduce HR cost,Total HR cost per employee,Reduce HR cost. Total HR cost per employee
Reduce time to fill,Time to Hire,Reduce time to fill. Time to Hire
Increase employee engagement,Employee engagement,Increase employee engagement. Employee engagement
Reduce bad hires,Bad hires (in %),Reduce bad hires. Bad hires (in %)
Increase revenue share of new customers,Total revenue from new customers (in %),Increase revenue share of new customers. Total revenue from new customers (in %)
Reduce claim processing cost,Claim processing cost (% of operating income),Reduce claim processing cost. Claim processing cost (% of operating income)
Reduce claim settlement time,Claim settlement time (in days),Reduce claim settlement time. Claim settlement time (in days)
Reduce store operating cost,Store operating cost (% of revenue),Reduce store operating cost. Store operating cost (% of revenue)
Reduce unplanned markdowns,Unplanned markdowns (% of revenue),Reduce unplanned markdowns. Unplanned markdowns (% of revenue)
Increase overall budget accuracy,Overall budget accuracy rate (in %),Increase overall budget accuracy. Overall budget accuracy rate (in %)
Reduce grant write-offs,Grant writeoffs (% of total grants disbursed),Reduce grant write-offs. Grant writeoffs (% of total grants disbursed)
Reduce grant funding lost,Grant funding lost (% of total research grant),Reduce grant funding lost. Grant funding lost (% of total research grant)
Increase grant management FTE productivity,Grantor administration FTEs per million budget,Increase grant management FTE productivity. Grantor administration FTEs per million budget
Improve HR shared services efficiency,HR shared services FTEs (per 100 EEs),Improve HR shared services efficiency. HR shared services FTEs (per 100 EEs)
Improve targeting of training,Training spend per employee,Improve targeting of training. Training spend per employee
Reduce employee manual transaction effort,Time spent on HR transactions per employee per year (in hours),Reduce employee manual transaction effort. Time spent on HR transactions per employee per year (in hours)
Reduce asset maintenance cost,Asset maintenance cost (% of revenue),Reduce asset maintenance cost. Asset maintenance cost (% of revenue)
Reduce un-planned downtime or outages,Unplanned downtime or outages ( % of planned operating hours),Reduce un-planned downtime or outages. Unplanned downtime or outages ( % of planned operating hours)
Reduce MRO inventory cost,MRO Inventory (% of gross machinery),Reduce MRO inventory cost. MRO Inventory (% of gross machinery)
Optimize capital expenditure,Capital expenditure (% of revenue),Optimize capital expenditure. Capital expenditure (% of revenue)
Reduce EH&S penalties and fines,EH&S penalties and fines (in '000s per billion in rev),Reduce EH&S penalties and fines. EH&S penalties and fines (in '000s per billion in rev)
Reduce lost time accidents,Lost time accident frequency rate (per 200K work hours),Reduce lost time accidents. Lost time accident frequency rate (per 200K work hours)
Increase revenue from new products/services,Revenue from new products/services (in %),Increase revenue from new products/services. Revenue from new products/services (in %)
Reduce time to market for new products,Time to market for new products (in months),Reduce time to market for new products. Time to market for new products (in months)
Optimize research and development expense,R&D expense (% of rev),Optimize research and development expense. R&D expense (% of rev)
Increase cash forecast accuracy,Cash forecast accuracy (in %),Increase cash forecast accuracy. Cash forecast accuracy (in %)
Reduce commission payouts,Sales commissions/ incentives (% of sales cost),Reduce commission payouts. Sales commissions/ incentives (% of sales cost)
Reduce commission overpayments,Commission overpayments(% of sales cost),Reduce commission overpayments. Commission overpayments(% of sales cost)
Reduce errors in bills sent out,Error rate in invoices sent out (in %),Reduce errors in bills sent out. Error rate in invoices sent out (in %)
Reduce bounce rate,Bounce rate (in %),Reduce bounce rate. Bounce rate (in %)
Reduce lease compliance errors,Lease compliance errors (in %),Reduce lease compliance errors. Lease compliance errors (in %)
Increase real estate occupancy rate,Real estate occupancy rate (in %),Increase real estate occupancy rate. Real estate occupancy rate (in %)
Reduce service and support cost,Service and support cost (% of revenue),Reduce service and support cost. Service and support cost (% of revenue)
Increase conversion of leads qualified,Qualified sales leads closed annually (in %),Increase conversion of leads qualified. Qualified sales leads closed annually (in %)
Increase order management FTE productivity,Order management FTEs per billion in revenue,Increase order management FTE productivity. Order management FTEs per billion in revenue
Reduce financial exposure risk,Hedge ratio (in %),Reduce financial exposure risk. Hedge ratio (in %)
Reduce sales force turnover,Sales force turnover rate (in %),Reduce sales force turnover. Sales force turnover rate (in %)
Improve cycle time for new contract creation,Cycle time for new contract creation (in days),Improve cycle time for new contract creation. Cycle time for new contract creation (in days)
Improve environmental safety and compliance,Number of environmental incidents per year per billion revenue,Improve environmental safety and compliance. Number of environmental incidents per year per billion revenue
Improve product traceability,Rev lost due to compliance/recall issues (%),Improve product traceability. Rev lost due to compliance/recall issues (%)
Reduce revenue lost due to poor contract management,Revenue lost due to poor contract management (% revenue),Reduce revenue lost due to poor contract management. Revenue lost due to poor contract management (% revenue)
Increase financial forecast accuracy,Financial forecast accuracy (in %),Increase financial forecast accuracy. Financial forecast accuracy (in %)
Reduce cost of capital,Cost of capital (in %),Reduce cost of capital. Cost of capital (in %)
Increase digital channel revenue through increase in conversion rate,Digital channels conversion rate (in %),Increase digital channel revenue through increase in conversion rate. Digital channels conversion rate (in %)
Increase buying frequency,Repeat purchase revenue (% of digital channel revenue),Increase buying frequency. Repeat purchase revenue (% of digital channel revenue)
Reduce cart abandonment rate,Cart abandonment rate (in %),Reduce cart abandonment rate. Cart abandonment rate (in %)
Improve merchandising FTE productivity,Merchandising FTEs per billion in revenue,Improve merchandising FTE productivity. Merchandising FTEs per billion in revenue
Reduce cost of digital channels content management,Content management cost (% of revenue),Reduce cost of digital channels content management. Content management cost (% of revenue)
Increase revenue from cross-sell/up-sell,Cross-sell/up-sell revenue (% of total revenue),Increase revenue from cross-sell/up-sell. Cross-sell/up-sell revenue (% of total revenue)
Improve customer satisfaction,Customer satisfaction (in %),Improve customer satisfaction. Customer satisfaction (in %)
Reduce sales cost,Sales cost (% of revenue),Reduce sales cost. Sales cost (% of revenue)
Reduce sales cycle time,Average length of sales cycle (in weeks),Reduce sales cycle time. Average length of sales cycle (in weeks)
Increase sales forecast accuracy,Sales forecast accuracy rate (in %),Increase sales forecast accuracy. Sales forecast accuracy rate (in %)
Reduce IT spend,IT spend ( % of revenue),Reduce IT spend. IT spend ( % of revenue)
Increase IT user productivity,IT FTEs per billion revenue,Increase IT user productivity. IT FTEs per billion revenue
Reduce HR compliance cost and mitigate risk,HR compliance cost (% of HR cost),Reduce HR compliance cost and mitigate risk. HR compliance cost (% of HR cost)
Improve payroll management function efficiency,Payroll management FTEs (per 100 EEs),Improve payroll management function efficiency. Payroll management FTEs (per 100 EEs)
Improve social collaboration and knowledge sharing,Time spent in gathering and sharing information per week (in hours),Improve social collaboration and knowledge sharing. Time spent in gathering and sharing information per week (in hours)
Reduce turnover,Average voluntary turnover rate (%),Reduce turnover. Average voluntary turnover rate (%)
Reduce manager time on employee administration,Manager time on employee admin. (in %),Reduce manager time on employee administration. Manager time on employee admin. (in %)
Reduce manual transaction and HR administration effort,"Time spent by HR admin on PM/GM/CM, onboarding and offboarding (in hrs per year)","Reduce manual transaction and HR administration effort. Time spent by HR admin on PM/GM/CM, onboarding and offboarding (in hrs per year)"
Improve time to full productivity of new hires,Time to full productivity for new hires (in days),Improve time to full productivity of new hires. Time to full productivity for new hires (in days)
